strain,carbon_source,replicate,name,mass_frac,localization,cog_category,cog_letter,growth_rate_hr,source
NCM3722,glucose,1,acca,0.0008955814466988,phi_cyto,Lipid transport and metabolism,I,0.8591408506447787,This Study
NCM3722,glucose+acetate,1,acca,0.0009447272455153,phi_cyto,Lipid transport and metabolism,I,0.8536886249556442,This Study
NCM3722,glycerol,1,acca,0.0008013607128332,phi_cyto,Lipid transport and metabolism,I,0.6737871653670509,This Study
NCM3722,sorbitol,1,acca,0.000757771441054,phi_cyto,Lipid transport and metabolism,I,0.6189821322967242,This Study
NCM3722,glucoseCAA,1,acca,0.0010145027889465,phi_cyto,Lipid transport and metabolism,I,1.4771279192381863,This Study
NCM3722,LB,1,acca,0.0017312304677153,phi_cyto,Lipid transport and metabolism,I,2.2690638773791805,This Study
NCM3722,acetate,1,acca,0.0006458530282023,phi_cyto,Lipid transport and metabolism,I,0.3537727536958664,This Study
NCM3722,glucose,2,acca,0.0009163549408065,phi_cyto,Lipid transport and metabolism,I,0.8840892213949154,This Study
NCM3722,glucose+acetate,2,acca,0.0008933626633164,phi_cyto,Lipid transport and metabolism,I,0.7000527193406471,This Study
NCM3722,glycerol,2,acca,0.0007348100407442,phi_cyto,Lipid transport and metabolism,I,0.6323276248776728,This Study
NCM3722,sorbitol,2,acca,0.0006633982892213,phi_cyto,Lipid transport and metabolism,I,0.6088031254855759,This Study
NCM3722,glucoseCAA,2,acca,0.0008524200789148,phi_cyto,Lipid transport and metabolism,I,1.3028032663667155,This Study
NCM3722,LB,2,acca,0.0011606641807719,phi_cyto,Lipid transport and metabolism,I,2.272564591054877,This Study
NCM3722,acetate,2,acca,0.000594470833456,phi_cyto,Lipid transport and metabolism,I,0.3851859922434523,This Study
NCM3722,glucose,1,accb,0.0009817442616473,phi_cyto,notdefined,H,0.8591408506447787,This Study
NCM3722,glucose+acetate,1,accb,0.000936444022144,phi_cyto,notdefined,H,0.8536886249556442,This Study
NCM3722,glycerol,1,accb,0.000816297241728,phi_cyto,notdefined,H,0.6737871653670509,This Study
NCM3722,sorbitol,1,accb,0.0008870890045377,phi_cyto,notdefined,H,0.6189821322967242,This Study
NCM3722,glucoseCAA,1,accb,0.001255038521844,phi_cyto,notdefined,H,1.4771279192381863,This Study
