growth_rate_hr,fg_protein_per_cell,source,notes
1.84,959.2,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD
1.270,399.7,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD
0.980,311.2,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD
0.700,221.9,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD
0.450,221.1,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD
0.420,201.5,Basan et al. 2015,Computed from supplemental table by dividing protein per OD by cells per OD
1.040,156.0,Neidhardt et al. 1992,From Bionumbers BNID
0.416,136.0,Bremer & Dennis 2008,From table 1
0.693,214.0,Bremer & Dennis 2008,From table 1
1.040,295.0,Bremer & Dennis 2008,From table 1
1.386,387.0,Bremer & Dennis 2008,From table 1
1.733,431.0,Bremer & Dennis 2008,From table 1
2.079,426.0,Bremer & Dennis 2008,From table 1
0.416,101.0,Churchward et al. 1982,From Table 1
0.693,140.0,Churchward et al. 1982,From Table 1
1.040,246.0,Churchward et al. 1982,From Table 1
1.386,417.0,Churchward et al. 1982,From Table 1
1.733,474.0,Churchward et al. 1982,From Table 1
0.464,82.2,Dennis & Bremer 1974,From Table 1. Calculated assuming 110 Daltons per amino acid an 1.6E9 Daltons per fg
0.693,102.3,Dennis & Bremer 1974,From Table 1. Calculated assuming 110 Daltons per amino acid an 1.6E9 Daltons per fg
0.832,120.5,Dennis & Bremer 1974,From Table 1. Calculated assuming 110 Daltons per amino acid an 1.6E9 Daltons per fg
1.040,157.0,Dennis & Bremer 1974,From Table 1. Calculated assuming 110 Daltons per amino acid an 1.6E9 Daltons per fg
1.386,204.5,Dennis & Bremer 1974,From Table 1. Calculated assuming 110 Daltons per amino acid an 1.6E9 Daltons per fg
1.664,252.0,Dennis & Bremer 1974,From Table 1. Calculated assuming 110 Daltons per amino acid an 1.6E9 Daltons per fg
2.079,346.9,Dennis & Bremer 1974,From Table 1. Calculated assuming 110 Daltons per amino acid an 1.6E9 Daltons per fg
0.416,100.0,Dennis & Bremer 1987,Taken from Table 2
0.693,156.0,Dennis & Bremer 1987,Taken from Table 2
1.040,234.0,Dennis & Bremer 1987,Taken from Table 2
1.386,340.0,Dennis & Bremer 1987,Taken from Table 2
1.733,450.0,Dennis & Bremer 1987,Taken from Table 2
0.70,84.6,Chohji et al. 1976,"Digitized from Fig. 1C, open circles on solid line (d)"
0.70,74.3,Chohji et al. 1976,"Digitized from Fig. 1C, open circles on solid line (d)"
0.85,85.4,Chohji et al. 1976,"Digitized from Fig. 1C, open circles on solid line (d)"
1.10,125.6,Chohji et al. 1976,"Digitized from Fig. 1C, open circles on solid line (d)"
1.10,145.8,Chohji et al. 1976,"Digitized from Fig. 1C, open circles on solid line (d)"
1.34,163.6,Chohji et al. 1976,"Digitized from Fig. 1C, open circles on solid line (d)"
1.53,199.7,Chohji et al. 1976,"Digitized from Fig. 1C, open circles on solid line (d)"
0.708,171.787,Chure et al. 2025,Taken from supplemental dataset. 
0.706,185.293,Chure et al. 2025,Taken from supplemental dataset. 
0.760,174.582,Chure et al. 2025,Taken from supplemental dataset. 
0.935,321.528,Chure et al. 2025,Taken from supplemental dataset. 
0.937,326.908,Chure et al. 2025,Taken from supplemental dataset. 
0.933,276.209,Chure et al. 2025,Taken from supplemental dataset. 
1.272,324.973,Chure et al. 2025,Taken from supplemental dataset. 
1.164,395.322,Chure et al. 2025,Taken from supplemental dataset. 
1.261,416.103,Chure et al. 2025,Taken from supplemental dataset. 
0.504,235.761,Chure et al. 2025,Taken from supplemental dataset. 
0.549,204.783,Chure et al. 2025,Taken from supplemental dataset. 
0.512,224.395,Chure et al. 2025,Taken from supplemental dataset. 
0.465,206.040,Chure et al. 2025,Taken from supplemental dataset. 
0.476,202.816,Chure et al. 2025,Taken from supplemental dataset. 
0.450,216.966,Chure et al. 2025,Taken from supplemental dataset. 
1.986,457.049,Chure et al. 2025,Taken from supplemental dataset. 
2.177,425.692,Chure et al. 2025,Taken from supplemental dataset. 
2.111,403.941,Chure et al. 2025,Taken from supplemental dataset. 
