b_number,cog_letter,name,gene_product,go_class,go_term,cog_class,cog_category
b4634,No Annotation,aaad,DLP12 prophage; protein AaaD,process,No Ontology,No Annotation,No Annotation
b4634,No Annotation,aaad,DLP12 prophage; protein AaaD,component,No Ontology,No Annotation,No Annotation
b4634,No Annotation,aaad,DLP12 prophage; protein AaaD,function,No Ontology,No Annotation,No Annotation
b4693,No Annotation,aaae,phage terminase,process,No Ontology,No Annotation,No Annotation
b4693,No Annotation,aaae,phage terminase,component,No Ontology,No Annotation,No Annotation
b4693,No Annotation,aaae,phage terminase,function,No Ontology,No Annotation,No Annotation
b3241,No Annotation,aaea,aromatic carboxylic acid efflux pump membrane fusion protein,process,carboxylic acid transport,No Annotation,No Annotation
b3241,No Annotation,aaea,aromatic carboxylic acid efflux pump membrane fusion protein,process,transmembrane transport,No Annotation,No Annotation
b3241,No Annotation,aaea,aromatic carboxylic acid efflux pump membrane fusion protein,component,plasma membrane,No Annotation,No Annotation
b3241,No Annotation,aaea,aromatic carboxylic acid efflux pump membrane fusion protein,component,integral component of membrane,No Annotation,No Annotation
b3241,No Annotation,aaea,aromatic carboxylic acid efflux pump membrane fusion protein,component,membrane,No Annotation,No Annotation
b3241,No Annotation,aaea,aromatic carboxylic acid efflux pump membrane fusion protein,function,transmembrane transporter activity,No Annotation,No Annotation
b3240,No Annotation,aaeb,aromatic carboxylic acid efflux pump subunit AaeB,process,transmembrane transport,No Annotation,No Annotation
b3240,No Annotation,aaeb,aromatic carboxylic acid efflux pump subunit AaeB,process,carboxylic acid transport,No Annotation,No Annotation
b3240,No Annotation,aaeb,aromatic carboxylic acid efflux pump subunit AaeB,component,plasma membrane,No Annotation,No Annotation
b3240,No Annotation,aaeb,aromatic carboxylic acid efflux pump subunit AaeB,component,integral component of membrane,No Annotation,No Annotation
b3240,No Annotation,aaeb,aromatic carboxylic acid efflux pump subunit AaeB,component,membrane,No Annotation,No Annotation
b3240,No Annotation,aaeb,aromatic carboxylic acid efflux pump subunit AaeB,function,transmembrane transporter activity,No Annotation,No Annotation
b3243,No Annotation,aaer,LysR-type transcriptional regulator AaeR,process,"positive regulation of transcription, DNA-templated",No Annotation,No Annotation
