name,localization
aaeA,IM
aaeB,IM
aaeR,CP
aaeX,IM
aas,IM
aat,CP
abgA,CP
abgB,CP
abgR,CP
abgT,IM
abpA,CP
abpB,CP
abrB,IM
accA,CP
accB,CP
accC,CP
accD,CP
aceA,CP
aceB,CP
aceE,CP
aceF,CP
aceK,CP
ackA,CP
acnA,CP
acnB,CP
acpH,CP
acpP,CP
acpS,CP
acpT,CP
acrA,LPI
acrB,IM
acrD,IM
acrE,LPI
acrF,IM
acrR,CP
acrZ,CP
acs,CP
actP,IM
ada,CP
add,CP
adeD,CP
adeP,IM
adeQ,IM
adhE,CP
adhP,CP
adiA,CP
adiC,IM
adiY,CP
adk,CP
aegA,CP
aer,IM
aes,CP
afuB,IM
afuC,CP
agaA,CP
agaB,CP
agaC,IM
agaD,IM
agaI,CP
agaR,CP
agaS,CP
agaV,CP
agaW,IM
agp,PE
ahpC,CP
ahpF,CP
ahr,CP
aidB,CP
ais,CP
alaA,CP
alaC,CP
alaE,IM
alaS,CP
aldA,CP
aldB,CP
alkA,CP
alkB,CP
allA,CP
allB,CP
allC,CP
allD,CP
allE,CP
allR,CP
allS,CP
alpA,CP
alr,CP
alsA,CP
alsB,PE
alsC,IM
alsE,CP
alsK,CP
alx,IM
amiA,PE
amiB,PE
amiC,PE
amiD,LPO
amn,CP
ampC,PE
ampD,CP
ampE,IM
ampG,IM
ampH,IM
amtB,IM
amyA,CP
anmK,CP
ansA,CP
ansB,PE
ansP,IM
apaG,CP
apaH,CP
aphA,PE
appA,PE
appB,IM
appC,IM
appX,CP
appY,CP
apt,CP
aqpZ,IM
araA,CP
araB,CP
araC,CP
araD,CP
araE,IM
araF,PE
araG,CP
araH,IM
araJ,IM
arcA,CP
arcB,IM
arfA,CP
arfB,CP
argA,CP
argB,CP
argC,CP
argD,CP
argE,CP
argF,CP
argG,CP
argH,CP
argI,CP
argK,CP
argO,IM
argP,CP
argR,CP
argS,CP
argT,PE
ariR,CP
arnA,CP
arnB,CP
arnC,IM
arnD,CP
arnE,IM
arnF,IM
arnT,IM
aroA,CP
aroB,CP
aroC,CP
aroD,CP
aroE,CP
aroF,CP
aroG,CP
aroH,CP
aroK,CP
aroL,CP
aroM,CP
aroP,IM
arpA,CP
arpB_1,CP
arpB_2,CP
arsB,IM
arsC,CP
arsR,CP
artI,PE
artJ,PE
artM,IM
artP,CP
artQ,IM
ascB,CP
ascF,IM
ascG,CP
asd,CP
aslA,PE
aslB,CP
asmA,PE
asnA,CP
asnB,CP
asnC,CP
asnS,CP
aspA,CP
aspC,CP
aspS,CP
asr,PE
astA,CP
astB,CP
astC,CP
astD,CP
astE,CP
atl,CP
atoA,CP
atoB,CP
atoC,CP
atoD,CP
atoE,IM
atoS,IM
atpA,CP
atpB,IM
atpC,CP
atpD,CP
atpE,IM
atpF,IM
atpG,CP
atpH,CP
atpI,IM
avtA,CP
azoR,CP
azuC,CP
bacA,IM
baeR,CP
baeS,IM
bamA,OM
bamB,LPO
bamC,LPO
bamD,LPO
